Prefix,First Name,Last Name,Suffix
Doctor,Fizzlebaum,Greenland,", Esq."
The Right Honorable,Jefferson,Phefferson,", Sr."
Professor,Grimbly,Rango, the Mystical
Chancellor,Mark,Sampson,", Jr."
Vice-Chancellor,Emily,Harmon,the Third
President,Criffledarm,Cardimom,", Ph.D"
Director,Winky,Gifford,", M.D."
The Reverend,Sarah,Napier,", J.D."
Viceroy,Belinda,Grim,the Blessed
Smelly,Betina,Frobischer,the Cursed
Sticky,Aubrey,Smith,the Unlucky
The Illustrious,Krinklehauser,Smythe,the Grand
Old,Jim,Crambular,the Lesser
Captain,John,McKinnon,the Unholy
Your Exellency,Jimothy,Flaversham,the Mysterious
Cardinal,Tim,Shinkicker,the Hammer
Crusty,Timothan,Kingston,the Unlikely
Governor-General,Tiffany,McCleod,the Forgetful
Big,Jennifer,Villiards,the Craven
Apprentice,Buford,Sour,the Lionhearted
The Venerable,Beula,Tillinghast,", Friend to All"
Southpaw,Mordecai,Oak, of the Blighted Lands
Fightin',Lester,Swift,of the North
The Almighty,Maximillian,Spice,", Monarch of the Hinterlands"
Young,Sbarf,McKringle,the Stargazer 
The Deathdealing,Aberline,Penhue,the Great and Powerful
The Miracle,Bumberman,Clarfindell,the Balance
The Sinful Glutton,Emerald,Carlyle,the Prideful
The Game Master,Vigo,Banon,the Fated
The Duelist,Connor,Pfarphegnugen,the Sour Lemon
Barkeep,Reginald,Jester,the Unsullied
Elder,Vaughn,Chimberly,the Magnificent
Bandit,Carter,St. Helen,the Boulder
Wishful,Rigby,McGillicutty,", the Monkey King"
The Singular,Scary,Jarfblum,the Soulsinger
Jubilant,Fang,Fleem,the Cloud Dancer
,Reese,Stonecutter,the Storm Caster
,Rince,Wishmaker,the Eternal Fern
,Kyborn,Forgnut,the Whispering Snake
,Barth,Hemlock,the Fool
,Swivli,Scott,
,Chester,Kwan,
,Fortunado,Cranston,
,Montresor,Hart,
,Tom,Taylor,
,Horatio,Oliver,
,Earl,Smimbldorf,
,Christine,Herrera,
,Gimberton,Hanford,
,Blurgle,Haverford,
,Whimsy,Lennon,
,Wensleydale,McCartney,
,Kermit,Harrison,
,Farkas,Starr,
,Eugene,Starkey,
,Gossamer,Darling,
,Jason,Drumpo,
,Trini,Ford,
,Billy,Albright,
,Kimberly,Maplecourt,
,Zack,Wickersham,
,Peter,Hu,
,Ray,Savoyvongthong,
,Egon,Framblin,
,Winston,Gale,
,Garfield,Malone,
,Pam,Linnel,
,David,Flansburg,
,Frank,Beller,
,Cramblaham,Coulton,
,Marjory,Thibadeux,
,Pierre,Dautrive,
,François,Shabadoo,
,Paul,Pliffleham,
,George,Parsely,
,Ringo,Lavado,
,Richie,Trunch,
,Wendy,Hondo,
,Michael,Bupkiss,
,Ivana,Dix-Huit,
,Madeline,French,
,Llewellyn,Pegasus,
,Ozymandias,Gutterman,
,Millicent,Aardia,
,Greg,Scrambles,
,Flimberto,Clearfield,
,Fitzroy,Davenport,
,Horton,Mason,
,Ephraim,Chifferobe,
,Elizabeth,Chesterfield,
,Liza,Anderson,
,Dorothy,Raymond,
,Crenshaw,Inkwell,
,Tippecanoe,,
,Lloyd,,
,Shaz,,
,Hubert,,
,Jerflindel,,
,Winifred,,
,Bipkiss,,
,Bambi,,
,Bee,,
,Hansel,,
,Gretel,,
,Mobbel,,
,Jimmy,,
,Timmy,,
,Clarance,,
,Penny,,
,Araña,,
,Ephemer,,
,Buster,,
,Blitzen,,
,Barbara,,
,Babs,,
